arsle
brutta
discofitta
dra åt helvete
fitta
fittig
för helvete
helvete
hård
jävlar
knulla
kuksås
kötthuvud
köttnacke
moonade
moonar
moonat
mutta
nigger
neger
pippa
prutt
pök
runka
röv
rövhål
rövknulla
satan
skita
skit ner dig
skäggbiff
snedfitta
snefitta
subba
sås
sätta på
tusan
