asshole
dritt
drittsekk
faen
faen i helvete
fanken
fitte
forbanna
forbannet
forjævlig
fuck
fy faen
føkk
føkka
føkkings
jævla
jævlig
helvete
helvetet
kuk
kukene
kuker
morraknuller
morrapuler
nigger
pakkis
pikk
pokker
ræva
ræven
satan
shit
sinnsykt
sotrør
ståpikk
ståpikkene
ståpikker
svartheiteste
